ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,7/16/2020 12:00:00 AM,$0.55,$0.56,$0.53,$0.54,2792
Democratic,7/16/2020 12:00:00 AM,$0.46,$0.47,$0.45,$0.46,1880
Republican,7/17/2020 12:00:00 AM,$0.54,$0.55,$0.54,$0.54,1366
Democratic,7/17/2020 12:00:00 AM,$0.46,$0.47,$0.46,$0.46,576
Republican,7/18/2020 12:00:00 AM,$0.54,$0.56,$0.54,$0.56,2441
Democratic,7/18/2020 12:00:00 AM,$0.46,$0.47,$0.45,$0.45,5045
Republican,7/19/2020 12:00:00 AM,$0.56,$0.56,$0.54,$0.54,2547
Democratic,7/19/2020 12:00:00 AM,$0.45,$0.47,$0.45,$0.46,2193
Republican,7/20/2020 12:00:00 AM,$0.54,$0.55,$0.53,$0.54,4558
Democratic,7/20/2020 12:00:00 AM,$0.46,$0.47,$0.45,$0.46,5093
Republican,7/21/2020 12:00:00 AM,$0.54,$0.56,$0.54,$0.56,6130
Democratic,7/21/2020 12:00:00 AM,$0.46,$0.47,$0.45,$0.47,4305
Republican,7/22/2020 12:00:00 AM,$0.56,$0.57,$0.55,$0.57,4065
Democratic,7/22/2020 12:00:00 AM,$0.47,$0.47,$0.43,$0.44,6904
Republican,7/23/2020 12:00:00 AM,$0.57,$0.57,$0.55,$0.56,1518
Democratic,7/23/2020 12:00:00 AM,$0.44,$0.45,$0.44,$0.45,2891
Republican,7/24/2020 12:00:00 AM,$0.56,$0.56,$0.55,$0.56,1673
Democratic,7/24/2020 12:00:00 AM,$0.45,$0.46,$0.44,$0.44,3507
Republican,7/25/2020 12:00:00 AM,$0.56,$0.56,$0.55,$0.56,1930
Democratic,7/25/2020 12:00:00 AM,$0.44,$0.46,$0.44,$0.44,855
Republican,7/26/2020 12:00:00 AM,$0.56,$0.58,$0.55,$0.58,1778
Democratic,7/26/2020 12:00:00 AM,$0.44,$0.45,$0.43,$0.43,2083
Republican,7/27/2020 12:00:00 AM,$0.58,$0.58,$0.57,$0.58,912
Democratic,7/27/2020 12:00:00 AM,$0.43,$0.45,$0.43,$0.43,1771
Republican,7/28/2020 12:00:00 AM,$0.58,$0.58,$0.57,$0.58,2308
Democratic,7/28/2020 12:00:00 AM,$0.43,$0.44,$0.43,$0.43,1980
Republican,7/29/2020 12:00:00 AM,$0.58,$0.62,$0.57,$0.62,7166
Democratic,7/29/2020 12:00:00 AM,$0.43,$0.44,$0.40,$0.42,5040
Republican,7/30/2020 12:00:00 AM,$0.62,$0.62,$0.59,$0.60,1087
Democratic,7/30/2020 12:00:00 AM,$0.42,$0.42,$0.41,$0.42,411
Republican,7/31/2020 12:00:00 AM,$0.60,$0.61,$0.59,$0.61,1209
Democratic,7/31/2020 12:00:00 AM,$0.42,$0.42,$0.40,$0.41,789
Republican,8/1/2020 12:00:00 AM,$0.61,$0.62,$0.60,$0.60,3228
Democratic,8/1/2020 12:00:00 AM,$0.41,$0.42,$0.39,$0.40,2966
Republican,8/2/2020 12:00:00 AM,$0.60,$0.62,$0.60,$0.62,1769
Democratic,8/2/2020 12:00:00 AM,$0.40,$0.41,$0.39,$0.40,1193
Republican,8/3/2020 12:00:00 AM,$0.62,$0.63,$0.60,$0.63,4991
Democratic,8/3/2020 12:00:00 AM,$0.40,$0.41,$0.39,$0.40,7345
Republican,8/4/2020 12:00:00 AM,$0.63,$0.64,$0.61,$0.63,1717
Democratic,8/4/2020 12:00:00 AM,$0.40,$0.41,$0.40,$0.41,1625
Republican,8/5/2020 12:00:00 AM,$0.63,$0.64,$0.61,$0.64,2270
Democratic,8/5/2020 12:00:00 AM,$0.41,$0.41,$0.39,$0.40,2649
Republican,8/6/2020 12:00:00 AM,$0.64,$0.64,$0.62,$0.62,4914
Democratic,8/6/2020 12:00:00 AM,$0.40,$0.40,$0.38,$0.39,3450
Republican,8/7/2020 12:00:00 AM,$0.62,$0.65,$0.62,$0.65,3943
Democratic,8/7/2020 12:00:00 AM,$0.39,$0.39,$0.36,$0.37,4107
Republican,8/8/2020 12:00:00 AM,$0.65,$0.65,$0.63,$0.64,1441
Democratic,8/8/2020 12:00:00 AM,$0.37,$0.38,$0.36,$0.37,2076
Republican,8/9/2020 12:00:00 AM,$0.64,$0.65,$0.63,$0.65,2681
Democratic,8/9/2020 12:00:00 AM,$0.37,$0.38,$0.36,$0.37,981
Republican,8/10/2020 12:00:00 AM,$0.65,$0.66,$0.63,$0.64,4441
Democratic,8/10/2020 12:00:00 AM,$0.37,$0.38,$0.35,$0.36,3423
Republican,8/11/2020 12:00:00 AM,$0.64,$0.67,$0.62,$0.63,13884
Democratic,8/11/2020 12:00:00 AM,$0.36,$0.39,$0.35,$0.39,10481
Republican,8/12/2020 12:00:00 AM,$0.63,$0.65,$0.62,$0.64,7948
Democratic,8/12/2020 12:00:00 AM,$0.39,$0.39,$0.37,$0.37,3404
Republican,8/13/2020 12:00:00 AM,$0.64,$0.65,$0.62,$0.65,7217
Democratic,8/13/2020 12:00:00 AM,$0.37,$0.38,$0.36,$0.38,4216
Republican,8/14/2020 12:00:00 AM,$0.65,$0.66,$0.64,$0.66,5980
Democratic,8/14/2020 12:00:00 AM,$0.38,$0.38,$0.36,$0.36,2342
Republican,8/15/2020 12:00:00 AM,$0.66,$0.67,$0.65,$0.65,5013
Democratic,8/15/2020 12:00:00 AM,$0.36,$0.37,$0.36,$0.36,613
Republican,8/16/2020 12:00:00 AM,$0.65,$0.66,$0.63,$0.65,6552
Democratic,8/16/2020 12:00:00 AM,$0.36,$0.38,$0.36,$0.37,2779
Republican,8/17/2020 12:00:00 AM,$0.65,$0.66,$0.63,$0.66,11099
Democratic,8/17/2020 12:00:00 AM,$0.37,$0.38,$0.35,$0.37,8119
Republican,8/18/2020 12:00:00 AM,$0.66,$0.66,$0.64,$0.65,4459
Democratic,8/18/2020 12:00:00 AM,$0.37,$0.37,$0.35,$0.37,1028
Republican,8/19/2020 12:00:00 AM,$0.65,$0.67,$0.64,$0.64,14420
Democratic,8/19/2020 12:00:00 AM,$0.37,$0.37,$0.35,$0.36,10753
Republican,8/20/2020 12:00:00 AM,$0.64,$0.66,$0.64,$0.64,11662
Democratic,8/20/2020 12:00:00 AM,$0.36,$0.37,$0.35,$0.36,11667
Republican,8/21/2020 12:00:00 AM,$0.64,$0.65,$0.63,$0.65,4530
Democratic,8/21/2020 12:00:00 AM,$0.36,$0.37,$0.36,$0.36,1458
Republican,8/22/2020 12:00:00 AM,$0.65,$0.65,$0.64,$0.65,2106
Democratic,8/22/2020 12:00:00 AM,$0.36,$0.37,$0.36,$0.37,3360
Republican,8/23/2020 12:00:00 AM,$0.65,$0.65,$0.64,$0.65,2414
Democratic,8/23/2020 12:00:00 AM,$0.37,$0.37,$0.36,$0.36,330
Republican,8/24/2020 12:00:00 AM,$0.65,$0.66,$0.64,$0.66,3895
Democratic,8/24/2020 12:00:00 AM,$0.36,$0.37,$0.34,$0.36,6565
Republican,8/25/2020 12:00:00 AM,$0.66,$0.66,$0.65,$0.66,4009
Democratic,8/25/2020 12:00:00 AM,$0.36,$0.36,$0.34,$0.35,2724
Republican,8/26/2020 12:00:00 AM,$0.66,$0.68,$0.66,$0.67,13259
Democratic,8/26/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.35,6660
Republican,8/27/2020 12:00:00 AM,$0.67,$0.69,$0.66,$0.68,7015
Democratic,8/27/2020 12:00:00 AM,$0.35,$0.35,$0.33,$0.33,6681
Republican,8/28/2020 12:00:00 AM,$0.68,$0.69,$0.67,$0.68,7080
Democratic,8/28/2020 12:00:00 AM,$0.33,$0.35,$0.33,$0.35,7377
Republican,8/29/2020 12:00:00 AM,$0.68,$0.69,$0.68,$0.69,9154
Democratic,8/29/2020 12:00:00 AM,$0.35,$0.35,$0.32,$0.34,3594
Republican,8/30/2020 12:00:00 AM,$0.69,$0.70,$0.68,$0.68,8671
Democratic,8/30/2020 12:00:00 AM,$0.34,$0.34,$0.32,$0.32,2355
Republican,8/31/2020 12:00:00 AM,$0.68,$0.69,$0.66,$0.67,10447
Democratic,8/31/2020 12:00:00 AM,$0.32,$0.36,$0.32,$0.35,11818
Republican,9/1/2020 12:00:00 AM,$0.67,$0.69,$0.66,$0.68,20957
Democratic,9/1/2020 12:00:00 AM,$0.35,$0.37,$0.33,$0.34,20623
Republican,9/2/2020 12:00:00 AM,$0.68,$0.70,$0.67,$0.67,19664
Democratic,9/2/2020 12:00:00 AM,$0.34,$0.34,$0.32,$0.34,15958
Republican,9/3/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.67,5092
Democratic,9/3/2020 12:00:00 AM,$0.34,$0.36,$0.34,$0.34,6309
Republican,9/4/2020 12:00:00 AM,$0.67,$0.68,$0.65,$0.66,8325
Democratic,9/4/2020 12:00:00 AM,$0.34,$0.36,$0.34,$0.35,3918
Republican,9/5/2020 12:00:00 AM,$0.66,$0.67,$0.65,$0.66,5653
Democratic,9/5/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.35,3001
Republican,9/6/2020 12:00:00 AM,$0.66,$0.67,$0.65,$0.66,4045
Democratic,9/6/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.34,3544
Republican,9/7/2020 12:00:00 AM,$0.66,$0.67,$0.63,$0.66,7607
Democratic,9/7/2020 12:00:00 AM,$0.34,$0.36,$0.34,$0.35,4012
Republican,9/8/2020 12:00:00 AM,$0.66,$0.67,$0.64,$0.66,7680
Democratic,9/8/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.35,5758
Republican,9/9/2020 12:00:00 AM,$0.66,$0.67,$0.65,$0.66,5830
Democratic,9/9/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.36,1449
Republican,9/10/2020 12:00:00 AM,$0.66,$0.67,$0.66,$0.66,4614
Democratic,9/10/2020 12:00:00 AM,$0.36,$0.36,$0.35,$0.35,3715
Republican,9/11/2020 12:00:00 AM,$0.66,$0.67,$0.65,$0.66,1022
Democratic,9/11/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.36,1343
Republican,9/12/2020 12:00:00 AM,$0.66,$0.67,$0.65,$0.65,1518
Democratic,9/12/2020 12:00:00 AM,$0.36,$0.36,$0.34,$0.35,2288
Republican,9/13/2020 12:00:00 AM,$0.65,$0.67,$0.65,$0.66,2557
Democratic,9/13/2020 12:00:00 AM,$0.35,$0.35,$0.34,$0.34,1945
Republican,9/14/2020 12:00:00 AM,$0.66,$0.67,$0.66,$0.67,2418
Democratic,9/14/2020 12:00:00 AM,$0.34,$0.35,$0.34,$0.34,1237
Republican,9/15/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.66,13551
Democratic,9/15/2020 12:00:00 AM,$0.34,$0.36,$0.34,$0.36,4181
Republican,9/16/2020 12:00:00 AM,$0.66,$0.67,$0.65,$0.65,10004
Democratic,9/16/2020 12:00:00 AM,$0.36,$0.36,$0.34,$0.35,2496
Republican,9/17/2020 12:00:00 AM,$0.65,$0.67,$0.65,$0.66,7998
Democratic,9/17/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.36,3561
Republican,9/18/2020 12:00:00 AM,$0.66,$0.67,$0.66,$0.66,7684
Democratic,9/18/2020 12:00:00 AM,$0.36,$0.36,$0.34,$0.34,7193
Republican,9/19/2020 12:00:00 AM,$0.66,$0.68,$0.66,$0.68,10146
Democratic,9/19/2020 12:00:00 AM,$0.34,$0.35,$0.33,$0.33,6309
Republican,9/20/2020 12:00:00 AM,$0.68,$0.68,$0.66,$0.67,7274
Democratic,9/20/2020 12:00:00 AM,$0.33,$0.34,$0.33,$0.33,6624
Republican,9/21/2020 12:00:00 AM,$0.67,$0.68,$0.65,$0.66,10710
Democratic,9/21/2020 12:00:00 AM,$0.33,$0.35,$0.33,$0.35,4159
Republican,9/22/2020 12:00:00 AM,$0.66,$0.67,$0.64,$0.66,12364
Democratic,9/22/2020 12:00:00 AM,$0.35,$0.37,$0.34,$0.36,12460
Republican,9/23/2020 12:00:00 AM,$0.66,$0.69,$0.64,$0.67,35418
Democratic,9/23/2020 12:00:00 AM,$0.36,$0.36,$0.32,$0.34,15259
Republican,9/24/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.66,11899
Democratic,9/24/2020 12:00:00 AM,$0.34,$0.35,$0.33,$0.34,7894
Republican,9/25/2020 12:00:00 AM,$0.66,$0.68,$0.66,$0.67,10093
Democratic,9/25/2020 12:00:00 AM,$0.34,$0.35,$0.33,$0.34,2409
Republican,9/26/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.67,1232
Democratic,9/26/2020 12:00:00 AM,$0.34,$0.34,$0.33,$0.34,3094
Republican,9/27/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.68,3635
Democratic,9/27/2020 12:00:00 AM,$0.34,$0.34,$0.33,$0.34,5955
Republican,9/28/2020 12:00:00 AM,$0.68,$0.68,$0.66,$0.67,8074
Democratic,9/28/2020 12:00:00 AM,$0.34,$0.35,$0.33,$0.35,5162
Republican,9/29/2020 12:00:00 AM,$0.67,$0.67,$0.62,$0.63,38125
Democratic,9/29/2020 12:00:00 AM,$0.35,$0.40,$0.34,$0.40,21846
Republican,9/30/2020 12:00:00 AM,$0.63,$0.63,$0.59,$0.62,31432
Democratic,9/30/2020 12:00:00 AM,$0.40,$0.43,$0.39,$0.41,19665
Republican,10/1/2020 12:00:00 AM,$0.62,$0.62,$0.56,$0.57,22271
Democratic,10/1/2020 12:00:00 AM,$0.41,$0.45,$0.40,$0.44,17479
