ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Democratic,7/30/2020 12:00:00 AM,$0.96,$0.96,$0.94,$0.96,2
Republican,7/31/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,7/31/2020 12:00:00 AM,$0.96,$0.96,$0.94,$0.94,1
Republican,8/1/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/1/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/2/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/2/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Republican,8/3/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,279
Democratic,8/3/2020 12:00:00 AM,$0.94,$0.95,$0.92,$0.95,1156
Republican,8/4/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1
Democratic,8/4/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/5/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/5/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Republican,8/6/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/6/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,1
Republican,8/7/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/7/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,10
Republican,8/8/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,584
Democratic,8/8/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,287
Republican,8/9/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,100
Democratic,8/9/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/10/2020 12:00:00 AM,$0.04,$0.06,$0.04,$0.06,1208
Democratic,8/10/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,794
Republican,8/11/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,8/11/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/12/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Democratic,8/12/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Republican,8/13/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,944
Democratic,8/13/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,904
Republican,8/14/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/14/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,120
Republican,8/15/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,200
Democratic,8/15/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/16/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/16/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/17/2020 12:00:00 AM,$0.05,$0.07,$0.05,$0.07,3881
Democratic,8/17/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/18/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,2
Democratic,8/18/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,8/19/2020 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,895
Democratic,8/19/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,428
Republican,8/20/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1919
Democratic,8/20/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,2
Republican,8/21/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,1210
Democratic,8/21/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,8/22/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,675
Democratic,8/22/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,236
Republican,8/23/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/23/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.96,276
Republican,8/24/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/24/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,1041
Republican,8/25/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,648
Democratic,8/25/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,111
Republican,8/26/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,1051
Democratic,8/26/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,59
Republican,8/27/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,3141
Democratic,8/27/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,1846
Republican,8/28/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,20
Democratic,8/28/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,10
Republican,8/29/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,8/29/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,200
Republican,8/30/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,154
Democratic,8/30/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,1
Republican,8/31/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,200
Democratic,8/31/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,1
Republican,9/1/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,278
Democratic,9/1/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,9/2/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,4
Democratic,9/2/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,3
Republican,9/3/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1220
Democratic,9/3/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/4/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,376
Democratic,9/4/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/5/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,89
Democratic,9/5/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/6/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1048
Democratic,9/6/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,6
Republican,9/7/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,101
Democratic,9/7/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/8/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,9/8/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,1
Republican,9/9/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,9/9/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/10/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,9/10/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,4
Republican,9/11/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,9/11/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.96,102
Republican,9/12/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,50
Democratic,9/12/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/13/2020 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,101
Democratic,9/13/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,1
Republican,9/14/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Democratic,9/14/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/15/2020 12:00:00 AM,$0.04,$0.06,$0.04,$0.04,201
Democratic,9/15/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/16/2020 12:00:00 AM,$0.04,$0.06,$0.04,$0.05,101
Democratic,9/16/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/17/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,9/17/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,20
Republican,9/18/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,1234
Democratic,9/18/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/19/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,101
Democratic,9/19/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,1000
Republican,9/20/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,9/20/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,9/21/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,9/21/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,490
Republican,9/22/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,375
Democratic,9/22/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,425
Republican,9/23/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,168
Democratic,9/23/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,4
Republican,9/24/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,271
Democratic,9/24/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,267
Republican,9/25/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Democratic,9/25/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Republican,9/26/2020 12:00:00 AM,$0.05,$0.06,$0.04,$0.04,667
Democratic,9/26/2020 12:00:00 AM,$0.95,$0.96,$0.94,$0.96,1684
Republican,9/27/2020 12:00:00 AM,$0.04,$0.06,$0.04,$0.06,75
Democratic,9/27/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Republican,9/28/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,1071
Democratic,9/28/2020 12:00:00 AM,$0.96,$0.96,$0.94,$0.96,903
Republican,9/29/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1050
Democratic,9/29/2020 12:00:00 AM,$0.96,$0.96,$0.94,$0.95,636
Republican,9/30/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,70
Democratic,9/30/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,10
Republican,10/1/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,1487
Democratic,10/1/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,146
Republican,10/2/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,1070
Democratic,10/2/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,2012
Republican,10/3/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,178
Democratic,10/3/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,98
Republican,10/4/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Democratic,10/4/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,1
Republican,10/5/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,894
Democratic,10/5/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1852
Republican,10/6/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1290
Democratic,10/6/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,730
Republican,10/7/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,6
Democratic,10/7/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.96,3
Republican,10/8/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,633
Democratic,10/8/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,55
Republican,10/9/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,302
Democratic,10/9/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,726
