ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,7/27/2020 12:00:00 AM,$0.78,$0.79,$0.78,$0.79,1030
Democratic,7/27/2020 12:00:00 AM,$0.22,$0.22,$0.21,$0.22,913
Republican,7/28/2020 12:00:00 AM,$0.79,$0.80,$0.78,$0.80,4374
Democratic,7/28/2020 12:00:00 AM,$0.22,$0.22,$0.20,$0.21,1896
Republican,7/29/2020 12:00:00 AM,$0.80,$0.81,$0.78,$0.79,1679
Democratic,7/29/2020 12:00:00 AM,$0.21,$0.22,$0.20,$0.21,1555
Republican,7/30/2020 12:00:00 AM,$0.79,$0.80,$0.79,$0.80,149
Democratic,7/30/2020 12:00:00 AM,$0.21,$0.21,$0.21,$0.21,0
Republican,7/31/2020 12:00:00 AM,$0.80,$0.80,$0.78,$0.78,532
Democratic,7/31/2020 12:00:00 AM,$0.21,$0.22,$0.21,$0.22,704
Republican,8/1/2020 12:00:00 AM,$0.78,$0.81,$0.78,$0.81,1130
Democratic,8/1/2020 12:00:00 AM,$0.22,$0.22,$0.21,$0.21,280
Republican,8/2/2020 12:00:00 AM,$0.81,$0.81,$0.81,$0.81,0
Democratic,8/2/2020 12:00:00 AM,$0.21,$0.22,$0.21,$0.22,86
Republican,8/3/2020 12:00:00 AM,$0.81,$0.81,$0.80,$0.81,944
Democratic,8/3/2020 12:00:00 AM,$0.22,$0.22,$0.20,$0.21,1091
Republican,8/4/2020 12:00:00 AM,$0.81,$0.82,$0.79,$0.82,3202
Democratic,8/4/2020 12:00:00 AM,$0.21,$0.21,$0.19,$0.20,697
Republican,8/5/2020 12:00:00 AM,$0.82,$0.82,$0.80,$0.80,954
Democratic,8/5/2020 12:00:00 AM,$0.20,$0.21,$0.19,$0.20,1207
Republican,8/6/2020 12:00:00 AM,$0.80,$0.81,$0.80,$0.81,514
Democratic,8/6/2020 12:00:00 AM,$0.20,$0.21,$0.19,$0.20,195
Republican,8/7/2020 12:00:00 AM,$0.81,$0.81,$0.77,$0.81,1212
Democratic,8/7/2020 12:00:00 AM,$0.20,$0.22,$0.19,$0.19,1699
Republican,8/8/2020 12:00:00 AM,$0.81,$0.82,$0.80,$0.82,725
Democratic,8/8/2020 12:00:00 AM,$0.19,$0.21,$0.18,$0.19,1834
Republican,8/9/2020 12:00:00 AM,$0.82,$0.82,$0.80,$0.82,34
Democratic,8/9/2020 12:00:00 AM,$0.19,$0.20,$0.18,$0.18,54
Republican,8/10/2020 12:00:00 AM,$0.82,$0.82,$0.80,$0.82,220
Democratic,8/10/2020 12:00:00 AM,$0.18,$0.20,$0.18,$0.18,307
Republican,8/11/2020 12:00:00 AM,$0.82,$0.82,$0.80,$0.80,1013
Democratic,8/11/2020 12:00:00 AM,$0.18,$0.19,$0.18,$0.19,324
Republican,8/12/2020 12:00:00 AM,$0.80,$0.82,$0.80,$0.82,2260
Democratic,8/12/2020 12:00:00 AM,$0.19,$0.20,$0.18,$0.19,241
Republican,8/13/2020 12:00:00 AM,$0.82,$0.82,$0.82,$0.82,158
Democratic,8/13/2020 12:00:00 AM,$0.19,$0.19,$0.18,$0.19,945
Republican,8/14/2020 12:00:00 AM,$0.82,$0.82,$0.81,$0.82,347
Democratic,8/14/2020 12:00:00 AM,$0.19,$0.19,$0.18,$0.18,75
Republican,8/15/2020 12:00:00 AM,$0.82,$0.82,$0.81,$0.82,152
Democratic,8/15/2020 12:00:00 AM,$0.18,$0.19,$0.18,$0.19,146
Republican,8/16/2020 12:00:00 AM,$0.82,$0.83,$0.82,$0.83,2378
Democratic,8/16/2020 12:00:00 AM,$0.19,$0.19,$0.18,$0.18,1486
Republican,8/17/2020 12:00:00 AM,$0.83,$0.84,$0.83,$0.84,2310
Democratic,8/17/2020 12:00:00 AM,$0.18,$0.18,$0.17,$0.17,1357
Republican,8/18/2020 12:00:00 AM,$0.84,$0.85,$0.84,$0.85,1433
Democratic,8/18/2020 12:00:00 AM,$0.17,$0.17,$0.15,$0.16,1164
Republican,8/19/2020 12:00:00 AM,$0.85,$0.87,$0.84,$0.87,1944
Democratic,8/19/2020 12:00:00 AM,$0.16,$0.16,$0.13,$0.13,1273
Republican,8/20/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.86,2342
Democratic,8/20/2020 12:00:00 AM,$0.13,$0.15,$0.13,$0.14,1186
Republican,8/21/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.86,2113
Democratic,8/21/2020 12:00:00 AM,$0.14,$0.15,$0.13,$0.15,1600
Republican,8/22/2020 12:00:00 AM,$0.86,$0.86,$0.85,$0.86,3066
Democratic,8/22/2020 12:00:00 AM,$0.15,$0.15,$0.14,$0.15,1357
Republican,8/23/2020 12:00:00 AM,$0.86,$0.86,$0.85,$0.85,847
Democratic,8/23/2020 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,81
Republican,8/24/2020 12:00:00 AM,$0.85,$0.87,$0.85,$0.85,3303
Democratic,8/24/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,1630
Republican,8/25/2020 12:00:00 AM,$0.85,$0.87,$0.85,$0.87,635
Democratic,8/25/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,2756
Republican,8/26/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.87,1321
Democratic,8/26/2020 12:00:00 AM,$0.14,$0.15,$0.13,$0.14,870
Republican,8/27/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.88,591
Democratic,8/27/2020 12:00:00 AM,$0.14,$0.14,$0.12,$0.12,2513
Republican,8/28/2020 12:00:00 AM,$0.88,$0.88,$0.87,$0.88,1586
Democratic,8/28/2020 12:00:00 AM,$0.12,$0.14,$0.12,$0.13,2219
Republican,8/29/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.89,1572
Democratic,8/29/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.13,624
Republican,8/30/2020 12:00:00 AM,$0.89,$0.89,$0.87,$0.88,2991
Democratic,8/30/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.13,1421
Republican,8/31/2020 12:00:00 AM,$0.88,$0.89,$0.87,$0.87,488
Democratic,8/31/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.14,3077
Republican,9/1/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.87,207
Democratic,9/1/2020 12:00:00 AM,$0.14,$0.14,$0.12,$0.13,215
Republican,9/2/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.88,194
Democratic,9/2/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.13,285
Republican,9/3/2020 12:00:00 AM,$0.88,$0.88,$0.87,$0.88,168
Democratic,9/3/2020 12:00:00 AM,$0.13,$0.14,$0.12,$0.13,1678
Republican,9/4/2020 12:00:00 AM,$0.88,$0.88,$0.85,$0.86,4719
Democratic,9/4/2020 12:00:00 AM,$0.13,$0.15,$0.12,$0.14,5027
Republican,9/5/2020 12:00:00 AM,$0.86,$0.86,$0.85,$0.86,282
Democratic,9/5/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,1911
Republican,9/6/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.86,435
Democratic,9/6/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,1014
Republican,9/7/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.87,62
Democratic,9/7/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,1186
Republican,9/8/2020 12:00:00 AM,$0.87,$0.87,$0.85,$0.86,4612
Democratic,9/8/2020 12:00:00 AM,$0.14,$0.16,$0.14,$0.15,3474
Republican,9/9/2020 12:00:00 AM,$0.86,$0.86,$0.85,$0.85,1421
Democratic,9/9/2020 12:00:00 AM,$0.15,$0.16,$0.14,$0.16,340
Republican,9/10/2020 12:00:00 AM,$0.85,$0.85,$0.84,$0.84,1667
Democratic,9/10/2020 12:00:00 AM,$0.16,$0.17,$0.16,$0.16,4000
Republican,9/11/2020 12:00:00 AM,$0.84,$0.85,$0.84,$0.85,273
Democratic,9/11/2020 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,5
Republican,9/12/2020 12:00:00 AM,$0.85,$0.86,$0.85,$0.86,66
Democratic,9/12/2020 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,96
Republican,9/13/2020 12:00:00 AM,$0.86,$0.86,$0.85,$0.85,79
Democratic,9/13/2020 12:00:00 AM,$0.16,$0.17,$0.16,$0.16,1047
Republican,9/14/2020 12:00:00 AM,$0.85,$0.87,$0.85,$0.86,2816
Democratic,9/14/2020 12:00:00 AM,$0.16,$0.16,$0.15,$0.15,1166
Republican,9/15/2020 12:00:00 AM,$0.86,$0.86,$0.85,$0.86,852
Democratic,9/15/2020 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,1169
Republican,9/16/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.86,1017
Democratic,9/16/2020 12:00:00 AM,$0.14,$0.15,$0.14,$0.15,356
Republican,9/17/2020 12:00:00 AM,$0.86,$0.87,$0.85,$0.85,5116
Democratic,9/17/2020 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,973
Republican,9/18/2020 12:00:00 AM,$0.85,$0.86,$0.85,$0.86,2249
Democratic,9/18/2020 12:00:00 AM,$0.15,$0.16,$0.15,$0.16,800
Republican,9/19/2020 12:00:00 AM,$0.86,$0.86,$0.85,$0.85,531
Democratic,9/19/2020 12:00:00 AM,$0.16,$0.16,$0.15,$0.16,11
Republican,9/20/2020 12:00:00 AM,$0.85,$0.86,$0.84,$0.85,1654
Democratic,9/20/2020 12:00:00 AM,$0.16,$0.17,$0.16,$0.17,2479
Republican,9/21/2020 12:00:00 AM,$0.85,$0.86,$0.84,$0.84,400
Democratic,9/21/2020 12:00:00 AM,$0.17,$0.17,$0.16,$0.16,1303
Republican,9/22/2020 12:00:00 AM,$0.84,$0.86,$0.84,$0.85,106
Democratic,9/22/2020 12:00:00 AM,$0.16,$0.17,$0.16,$0.16,307
Republican,9/23/2020 12:00:00 AM,$0.85,$0.86,$0.85,$0.86,2674
Democratic,9/23/2020 12:00:00 AM,$0.16,$0.18,$0.15,$0.15,4579
Republican,9/24/2020 12:00:00 AM,$0.86,$0.87,$0.85,$0.85,1775
Democratic,9/24/2020 12:00:00 AM,$0.15,$0.16,$0.14,$0.16,136
Republican,9/25/2020 12:00:00 AM,$0.85,$0.87,$0.85,$0.87,2996
Democratic,9/25/2020 12:00:00 AM,$0.16,$0.16,$0.14,$0.15,1259
Republican,9/26/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.87,578
Democratic,9/26/2020 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,75
Republican,9/27/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.86,237
Democratic,9/27/2020 12:00:00 AM,$0.14,$0.16,$0.14,$0.14,5842
Republican,9/28/2020 12:00:00 AM,$0.86,$0.87,$0.82,$0.82,6796
Democratic,9/28/2020 12:00:00 AM,$0.14,$0.19,$0.13,$0.19,7247
Republican,9/29/2020 12:00:00 AM,$0.82,$0.85,$0.81,$0.81,4612
Democratic,9/29/2020 12:00:00 AM,$0.19,$0.19,$0.16,$0.18,6220
Republican,9/30/2020 12:00:00 AM,$0.81,$0.84,$0.81,$0.82,3225
Democratic,9/30/2020 12:00:00 AM,$0.18,$0.20,$0.17,$0.18,5224
Republican,10/1/2020 12:00:00 AM,$0.82,$0.83,$0.79,$0.81,9076
Democratic,10/1/2020 12:00:00 AM,$0.18,$0.22,$0.18,$0.20,7994
