ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,8/7/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/7/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/8/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/8/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/9/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,25
Democratic,8/9/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,31
Republican,8/10/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,8
Democratic,8/10/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Republican,8/11/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,1
Democratic,8/11/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,67
Republican,8/12/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/12/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,102
Republican,8/13/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/13/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,1029
Republican,8/14/2020 12:00:00 AM,$0.95,$0.96,$0.94,$0.95,493
Democratic,8/14/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,915
Republican,8/15/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,55
Democratic,8/15/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,1
Republican,8/16/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Democratic,8/16/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/17/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.95,372
Democratic,8/17/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1
Republican,8/18/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,351
Democratic,8/18/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,2
Republican,8/19/2020 12:00:00 AM,$0.95,$0.96,$0.94,$0.95,507
Democratic,8/19/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,135
Republican,8/20/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,732
Democratic,8/20/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,679
Republican,8/21/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,10
Democratic,8/21/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,688
Republican,8/22/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,1310
Democratic,8/22/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,892
Republican,8/23/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,2376
Democratic,8/23/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,100
Republican,8/24/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,1071
Democratic,8/24/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,126
Republican,8/25/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,244
Democratic,8/25/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,162
Republican,8/26/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,61
Democratic,8/26/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,725
Republican,8/27/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,25
Democratic,8/27/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,150
Republican,8/28/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/28/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,3
Republican,8/29/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/29/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/30/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,1
Democratic,8/30/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/31/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.96,910
Democratic,8/31/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/1/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,1
Democratic,9/1/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/2/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,28
Democratic,9/2/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,935
Republican,9/3/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,109
Democratic,9/3/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,100
Republican,9/4/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/4/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/5/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/5/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/6/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,16
Democratic,9/6/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1
Republican,9/7/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.96,65
Democratic,9/7/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/8/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,50
Democratic,9/8/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/9/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/9/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1
Republican,9/10/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/10/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/11/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/11/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,2
Republican,9/12/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,57
Democratic,9/12/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/13/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,20
Democratic,9/13/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/14/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/14/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/15/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/15/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/16/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/16/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1
Republican,9/17/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,1860
Democratic,9/17/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,2544
Republican,9/18/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,25
Democratic,9/18/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,2
Republican,9/19/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/19/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,209
Republican,9/20/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,56
Democratic,9/20/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/21/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/21/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,2
Republican,9/22/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,62
Democratic,9/22/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/23/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,67
Democratic,9/23/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,23
Republican,9/24/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/24/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/25/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,260
Democratic,9/25/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/26/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/26/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/27/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,9/27/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/28/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Democratic,9/28/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,100
Republican,9/29/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,119
Democratic,9/29/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,2
Republican,9/30/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,25
Democratic,9/30/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,76
Republican,10/1/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,1
Democratic,10/1/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1
