ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Democratic,7/31/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,4
Republican,8/1/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/1/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,25
Republican,8/2/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/2/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/3/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/3/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/4/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,73
Democratic,8/4/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/5/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,869
Democratic,8/5/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Republican,8/6/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,1
Democratic,8/6/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/7/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/7/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/8/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,896
Democratic,8/8/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/9/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,8/9/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Republican,8/10/2020 12:00:00 AM,$0.95,$0.95,$0.94,$0.94,5
Democratic,8/10/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,8
Republican,8/11/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Democratic,8/11/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/12/2020 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,378
Democratic,8/12/2020 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,319
Republican,8/13/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,148
Democratic,8/13/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,700
Republican,8/14/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,20
Democratic,8/14/2020 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,811
Republican,8/15/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/15/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/16/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/16/2020 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Republican,8/17/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/17/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,92
Republican,8/18/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/18/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1
Republican,8/19/2020 12:00:00 AM,$0.96,$0.96,$0.94,$0.95,4
Democratic,8/19/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,410
Republican,8/20/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,1066
Democratic,8/20/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,896
Republican,8/21/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/21/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,163
Republican,8/22/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,940
Democratic,8/22/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/23/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,953
Democratic,8/23/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,8/24/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,721
Democratic,8/24/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1682
Republican,8/25/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,8/25/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,1287
Republican,8/26/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,61
Democratic,8/26/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,50
Republican,8/27/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,945
Democratic,8/27/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,385
Republican,8/28/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/28/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,20
Republican,8/29/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,8/29/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,8/30/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,1
Democratic,8/30/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,53
Republican,8/31/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,801
Democratic,8/31/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,6
Republican,9/1/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,1
Democratic,9/1/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/2/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/2/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Republican,9/3/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,161
Democratic,9/3/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/4/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/4/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/5/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/5/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/6/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,1
Democratic,9/6/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/7/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,50
Democratic,9/7/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/8/2020 12:00:00 AM,$0.97,$0.97,$0.96,$0.96,1
Democratic,9/8/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/9/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/9/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Republican,9/10/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,14
Democratic,9/10/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/11/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/11/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Republican,9/12/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/12/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/13/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/13/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/14/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/14/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/15/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/15/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,158
Republican,9/16/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/16/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/17/2020 12:00:00 AM,$0.97,$0.97,$0.95,$0.95,1168
Democratic,9/17/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1
Republican,9/18/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,108
Democratic,9/18/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Republican,9/19/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/19/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,158
Republican,9/20/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/20/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/21/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/21/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/22/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/22/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/23/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,9/23/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,26
Republican,9/24/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.97,60
Democratic,9/24/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,5
Republican,9/25/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/25/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/26/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/26/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/27/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/27/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,9/28/2020 12:00:00 AM,$0.97,$0.97,$0.97,$0.97,0
Democratic,9/28/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,906
Republican,9/29/2020 12:00:00 AM,$0.97,$0.97,$0.95,$0.95,56
Democratic,9/29/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,200
Republican,9/30/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,15
Democratic,9/30/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,118
Republican,10/1/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,10/1/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,2
Republican,10/2/2020 12:00:00 AM,$0.96,$0.97,$0.94,$0.96,6450
Democratic,10/2/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,4416
Republican,10/3/2020 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,1019
Democratic,10/3/2020 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,2656
Republican,10/4/2020 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Democratic,10/4/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,50
Republican,10/5/2020 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,1
Democratic,10/5/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Republican,10/6/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,20
Democratic,10/6/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,10/7/2020 12:00:00 AM,$0.96,$0.97,$0.95,$0.96,333
Democratic,10/7/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Republican,10/8/2020 12:00:00 AM,$0.96,$0.97,$0.96,$0.96,102
Democratic,10/8/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Republican,10/9/2020 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Democratic,10/9/2020 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,72
